"iter","t","f_plus","f_minus","score_mean","diffusion_speed_SAMPs","add_SAMPs","SAMPs_decay","treg_discrimination_efficiency","activation_threshold_SAMPs"
36,11699,57.8282828282828,49.4266666666667,53.6274747474747,0.12,0.5,0.0793554084996237,0.063684326799699,0.199491092686929
37,11875,61.4390243902439,61.1063829787234,61.2727036844836,0.117522241882833,0.496902802353541,0.0824526061460828,0.0612065686825317,0.197013334569762
38,12097,53.6136363636364,69.1,61.3568181818182,0.12,0.352953223374942,0.226402185124682,0.001,0.0818536713868829
39,12290,63.0425531914894,58.050505050505,60.5465291209972,0.0829420509069255,0.306630787008599,0.180079748758339,0.001,0.118911620479957
40,12546,46.233918128655,60.6,53.4169590643275,0.12,0.173558588567092,0.0470075503168315,0.107457758753206,0.0124538617267518
41,12717,40.9887640449438,52.8292682926829,46.9090161688134,0.12,0.0640769031204914,0.156489235763432,0.195043107110486,0.100039210084032
42,13800,58,28,43,0.12,0.340963454845541,0.001,0.416552348490526,0.001
43,13949,47.2714285714286,58.873417721519,53.0724231464738,0.0344932352988777,0.234079998969138,0.001,0.331045583789403,0.0865067647011223
44,14111,59.8941176470588,50.3376623376624,55.1158899923606,0.104792589148018,0.146205806657713,0.0888741923114255,0.260746229940263,0.156806118550263
45,14315,63.2087912087912,55.7699115044248,59.489351356608,0.0501742534700303,0.214478726255197,0.15714711190891,0.315364565618251,0.21142445422825
46,16100,39.8478747203579,25,32.423937360179,0.001,0.350489223803398,0.0211366143607102,0.206556167579691,0.10261605618969
47,16267,52.4705882352941,60.7317073170732,56.6011477761836,0.0614220882100786,0.274961613540799,0.0966642246233085,0.146134079369612,0.163038144399769
48,16456,63.979381443299,65.0217391304348,64.5005602868669,0.0690310356801668,0.265450429203189,0.0871530402856983,0.138525131899524,0.155429196929681
49,16683,63.4645669291339,59.78,61.622283464567,0.042187598761146,0.231896133054413,0.120707336434474,0.111681694980503,0.12858576001066
